created_at,subject,label,source_ambient,target_ambient,source_trial,target_trial,source_file,target_file,rows,max_jitter,method
2026-06-25T01:40:28,yja,lying_irregular_breath,aircon,quiet,t028,t015,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t028.csv,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t015.csv,1875,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:40:31,yja,lying_irregular_breath,tv,quiet,t045,t016,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t045.csv,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t016.csv,1870,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:40:34,yja,lying_irregular_breath,aircon,quiet,t029,t017,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t029.csv,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t017.csv,1872,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:40:37,yja,lying_irregular_breath,tv,quiet,t046,t018,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t046.csv,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t018.csv,1869,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:40:40,yja,lying_irregular_breath,aircon,quiet,t030,t019,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t030.csv,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t019.csv,1876,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:40:44,yja,lying_irregular_breath,tv,quiet,t047,t020,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t047.csv,data/warning/breathing/lying_irregular_breath/yja/yja_lying_irregular_breath_t020.csv,1877,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:40:46,yja,bed_exit_failed,aircon,quiet,t021,t001,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t021.csv,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t001.csv,984,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:40:48,yja,bed_exit_failed,tv,quiet,t038,t002,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t038.csv,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t002.csv,981,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:40:50,yja,bed_exit_failed,aircon,quiet,t022,t003,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t022.csv,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t003.csv,981,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:40:52,yja,bed_exit_failed,tv,quiet,t039,t004,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t039.csv,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t004.csv,982,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
